arribos,demandas,salidas,potencias
0,13.07127861,634,1
58,12.188,156,1
77,7.229,194,1
81,5.895,193,1
84,11.717,193,1
85,9.608,213,1
85,12.578,138,1
89,13.252,200,1
90,7.65,205,1
90,7.265,219,1
90,13.217,207,1
93,13.266,211,1
95,5.462,150,1
95,13.192,206,1
98,15.308,142,1
99,13.191,207,1
101,5.924,212,1
101,2.929,198,1
101,6.795,195,1
102,13.909,221,1
102,6.214,205,1
102,3.798,151,1
103,13.883,190,1
104,5.992,171,1
104,13.966,199,1
104,4.537,146,1
105,14.026,211,1
105,13.194,224,1
105,1.063,111,1
106,5.565,241,1
106,3.245,227,1
107,13.949,207,1
108,1.085,222,1
109,1.41,161,1
110,8.06,208,1
110,5.551,126,1
111,5.896,223,1
111,6.687,165,1
112,9.357,217,1
113,6.311,237,1
113,9.528,209,1
117,13.938,206,1
117,7.034,199,1
117,8.743,199,1
119,13.894,195,1
126,13.93,215,1
128,2.065,339,1
134,1.636,140,1
142,11.931,211,1
147,13.501,172,1
148,1.842,209,1
157,7.099,211,1
161,9.933,224,1
162,9.157,240,1
167,1.891,236,1
169,8.971,203,1
176,13.356,217,1
179,1.052,208,1
191,13.191,215,1
195,12.143,217,1
198,4.922,215,1
207,13.187,266,1
207,10.501,226,1
212,4.887,225,1
215,2.54,228,1
216,1.588,219,1
216,14.897,242,1
217,12.515,240,1
220,13.894,248,1
222,11.756,249,1
223,25.867,270,1
227,6.502,249,1
230,16.953,261,1
234,4.471,243,1
235,3.283,247,1
236,11.309,257,1
236,7.512,264,1
239,27.422,363,1
239,2.039,250,1
240,6.609,270,1
242,13.965,381,1
244,5.119,254,1
245,44.881,398,1
245,6.38,377,1
265,1.594,268,1
265,11.347,363,1
266,3.457,363,1
267,6.793,290,1
286,1.04,326,1
